,did,tool_name,api_name,instruction,type,label,explain
0,0,access_user_info,get_user_profile,Can you show me my user profile?,2,2,
1,1,access_user_info,get_user_profile,Can I see what language is set on my profile?,2,2,
2,2,access_user_info,get_user_profile,What is my current location as per my profile?,2,2,
3,3,access_user_info,get_user_profile,What age is recorded in my profile?,2,2,
4,4,access_user_info,get_user_profile,Can I have a look at the personal details in my profile?,2,2,
5,5,access_user_info,get_user_profile,What's the gender information in my profile?,2,2,
6,6,access_user_info,get_user_profile,"I want to confirm, is my profile showing the correct name?",2,2,
7,7,access_user_info,get_user_profile,Can I check whether my profile reflects my current city of residence?,2,2,
8,8,access_user_info,get_user_profile,What's the information listed in my profile?,2,2,
9,9,access_user_info,get_user_profile,Can you display the data from my user profile?,2,2,
10,10,agent_equipments,get_current_time,What's the current local time and date right now?,2,1,
11,11,agent_equipments,get_current_time,What day of the week is it today?,2,1,
12,12,agent_equipments,get_current_time,"Can you tell me the exact time, date, and day of the week right now?",2,1,
13,13,agent_equipments,get_current_time,What's the current time and day today?,2,1,
14,14,agent_equipments,get_current_time,Can you provide me the current time along with today's date?,2,1,
15,15,agent_equipments,get_current_time,What is today's date and the day of the week?,2,1,
16,16,agent_equipments,get_current_time,Could you please tell me the exact local time and today's date?,2,1,
17,17,agent_equipments,get_current_time,Please let me know the current time and which day of the week it is today.,2,1,
18,18,agent_equipments,get_current_time,"Can you give me the precise local time, date, and day today?",2,1,
19,19,agent_equipments,get_current_time,What's the current time and what day is it today?,2,1,
20,20,agent_equipments,get_my_location,Where am I currently located?,2,2,
21,21,agent_equipments,get_my_location,Can you tell me my current location?,2,2,
22,22,agent_equipments,get_my_location,What is my location right now?,2,2,
23,23,agent_equipments,get_my_location,Could you help me find out my current location?,2,2,
24,24,agent_equipments,get_my_location,"I am lost, where am I?",2,2,
25,25,agent_equipments,get_my_location,What is the name of the place where I am now?,2,2,
26,26,agent_equipments,get_my_location,Can you let me know where am I situated at this moment?,2,2,
27,27,agent_equipments,get_my_location,"I need to know my present location, can you inform me?",2,2,
28,28,agent_equipments,get_my_location,Now where am I?,2,2,
29,29,agent_equipments,get_my_location,What is my pinpoint location right now?,2,2,
30,30,airports,query_airports_by_name,Can you tell me the information about Shenzhen Bao'an International Airport?,2,1,
31,31,airports,query_airports_by_name,"I need details about Hong Kong International Airport, can you lookup?",2,1,
32,32,airports,query_airports_by_name,What can you tell me about Beijing Daxing International Airport?,2,1,
33,33,airports,query_airports_by_name,I would like to know about Shanghai Pudong International Airport.,2,1,
34,34,airports,query_airports_by_name,Can you provide me with details on Chengdu Shuangliu International Airport?,2,1,
35,35,airports,query_airports_by_name,What can you tell me about Guangzhou Baiyun International Airport?,2,1,
36,36,airports,query_airports_by_name,"I need to know about Hangzhou Xiaoshan International Airport, could you please look it up for me?",2,1,
37,37,airports,query_airports_by_name,Can you check for Kunming Changshui International Airport?,2,1,
38,38,airports,query_airports_by_name,"I need information on Nanjing Lukou International Airport, could you provide?",2,1,
39,39,airports,query_airports_by_name,Can you lookup for Xi'an Xianyang International Airport?,2,1,
40,40,airports,get_airport_by_iata_code,"What is the location of airport with IATA code ""SZX""?",2,1,
41,41,airports,get_airport_by_iata_code,"Can you please tell me the ICAO code of airport with IATA code ""PEK""?",2,1,
42,42,airports,get_airport_by_iata_code,"What's the local time at the airport with IATA code ""JFK""?",2,1,
43,43,airports,get_airport_by_iata_code,"Could you provide information on the airport with IATA code ""LAX""?",2,1,
44,44,airports,get_airport_by_iata_code,"What is the name of the airport with IATA code ""DXB""?",2,1,
45,45,airports,get_airport_by_iata_code,"Can you give me the details of the airport with IATA code ""HND""?",2,1,
46,46,airports,get_airport_by_iata_code,"What city is the airport with IATA code ""AMS"" located in?",2,1,
47,47,airports,get_airport_by_iata_code,"What timezone does the airport with IATA code ""SFO"" belong to?",2,1,
48,48,airports,get_airport_by_iata_code,"What country is the airport with IATA code ""SYD"" in?",2,1,
49,49,airports,get_airport_by_iata_code,"Can you provide me the address of the airport with IATA code ""YYZ""?",2,1,
50,50,airports,get_airport_by_icao_code,"Can you find the location and local time of the airport with ICAO code ""ZGSZ""?",2,1,
51,51,airports,get_airport_by_icao_code,"What is the information of the airport with ICAO code ""VHHH""?",2,1,
52,52,airports,get_airport_by_icao_code,"I want to know the details of the airport with the ICAO code ""OMDB"".",2,1,
53,53,airports,get_airport_by_icao_code,"Tell me about the airport with ICAO code ""EGLL"" - its location and current local time.",2,1,
54,54,airports,get_airport_by_icao_code,"What can you tell me about the airport with ICAO code ""KLAX""?",2,1,
55,55,airports,get_airport_by_icao_code,"Find me the location and local time of the airport with ICAO code ""RJTT"".",2,1,
56,56,airports,get_airport_by_icao_code,"Give me the information on the airport with the ICAO code ""SCEL"".",2,1,
57,57,airports,get_airport_by_icao_code,"Can you provide details about the airport with ICAO code ""LFPG""?",2,1,
58,58,airports,get_airport_by_icao_code,"I'd like to know more about the airport with the ICAO code ""YSSY"".",2,1,
59,59,airports,get_airport_by_icao_code,"What is the location and local time of the airport with ICAO code ""CYYZ""?",2,1,
60,60,bing,web_search,Can you find some Chinese websites about NBA?,2,1,
61,61,bing,web_search,I need top 5 articles about covid-19 vaccine in English.,2,1,
62,62,bing,web_search,Could you locate recent articles about artificial intelligence development in Chinese?,2,1,
63,63,bing,web_search,Are there any articles related to the 2024 US presidential election?,2,1,
64,64,bing,web_search,Can you provide some research papers on Quantum Computing accessible on internet?,2,1,
65,65,bing,web_search,Could you find resources about learning Mandarin online for beginners in Spanish?,2,1,
66,66,bing,web_search,Are there any information about the cats commonly found in China available online in Chinese?,2,1,
67,67,bing,web_search,"I'd like to get a list of English blog articles about vegetarian recipes, can you find it?",2,1,
68,68,bing,web_search,Can you find some popular online forums about game development in English?,2,1,
69,69,bing,web_search,Could you find online resources teaching Italian cooking techniques in Italian?,2,1,
70,70,bing_search_apis,images_search,Can you show me some images of the Shenzhen skyline?,2,1,
71,71,bing_search_apis,images_search,I'd like to see pictures of popular tourist attractions in Beijing.,2,2,
72,72,bing_search_apis,images_search,Can you find some images of famous Chinese celebrities?,2,1,
73,73,bing_search_apis,images_search,I'd like to see some beautiful landscapes and nature spots around China.,2,2,
74,74,bing_search_apis,images_search,Can you find some images of Chinese traditional architecture?,2,1,
75,75,bing_search_apis,images_search,I'm looking for pictures of popular street food in Shenzhen.,2,1,
76,76,bing_search_apis,images_search,Can you show me images of traditional Chinese clothing and fashion?,2,1,
77,77,bing_search_apis,images_search,Can you find some images of the top 10 tallest buildings in the world?,2,1,
78,78,bing_search_apis,images_search,I'd like to see pictures of luxury hotels and resorts in Hainan.,2,1,
79,79,bing_search_apis,images_search,"Can you find me images of animals native to China, such as pandas and golden monkeys?",2,1,
80,80,calculator,calculate,Can you help me calculate the result of 2 + 3 * 4?,2,1,
81,81,calculator,calculate,What is the value of the expression (5 - 2) * (3 + 1)?,2,1,
82,82,calculator,calculate,Can you find the result of 100 / (10 - 5) * 2?,2,1,
83,83,calculator,calculate,What is the result of ((3 + 7) * 5) - 2?,2,1,
84,84,calculator,calculate,Calculate the value of this math problem: 20 * (4 + 1) - 10?,2,1,
85,85,calculator,calculate,Please solve the following expression: (15 - 10) * (6 / 2) + 5,2,1,
86,86,calculator,calculate,Can you calculate this formula for me: (9 + 3) / 4 * 8?,2,1,
87,87,calculator,calculate,What is the result of (12*2) / (6*1) + 7?,2,1,
88,88,calculator,calculate,Could you please calculate the expression (25 + 35) / (3 * 5) - 4?,2,1,
89,89,calculator,calculate,Can you tell me the result of this math problem: 18 - (3 * 6) / 2?,2,1,
90,90,calendar,days_of_month,Can you show me the calendar for May 2024?,2,1,
91,91,calendar,days_of_month,I'd like to see the calendar for December 2023.,2,1,
92,92,calendar,days_of_month,What day of the week does the 9th of July 2024 fall on?,2,1,
93,93,calendar,days_of_month,Can you tell me which day of the week the first day of April 2024 is?,2,1,
94,94,calendar,days_of_month,I need to see the calendar days for March 2024.,2,1,
95,95,calendar,days_of_month,What are the days and their weekdays in September 2024?,2,1,
96,96,calendar,days_of_month,Can I have a look at the calendar for June 2024?,2,1,
97,97,calendar,days_of_month,What day of the week is the 30th of November 2024?,2,1,
98,98,calendar,days_of_month,Can you show me the calendar for this month?,2,0,
99,99,calendar,days_of_month,I'd like to know the day of the week for the 15th of October 2024.,2,1,
100,100,calendar,display_calendar_of_month,Can you show me the calendar for April 2024?,2,1,
101,101,calendar,display_calendar_of_month,"What does the calendar look like for the next month, April 2024?",2,1,
102,102,calendar,display_calendar_of_month,I need to see the calendar for May 2024.,2,1,
103,103,calendar,display_calendar_of_month,Can you display the calendar for October 2023?,2,1,
104,104,calendar,display_calendar_of_month,Let me see the calendar of June 2025.,2,1,
105,105,calendar,display_calendar_of_month,What's the calendar for January 2024?,2,1,
106,106,calendar,display_calendar_of_month,"Show me the calendar of the current month, March 2024.",2,1,
107,107,calendar,display_calendar_of_month,Please display the calendar of August 2024.,2,1,
108,108,calendar,display_calendar_of_month,I want to check the calendar for December 2023.,2,1,
109,109,calendar,display_calendar_of_month,Can you present the calendar for September 2025?,2,1,
110,110,currency_exchange,listquotes,How many RMB (CNY) do I need to exchange for 100 USD?,2,2,
111,111,currency_exchange,listquotes,"I'm planning to travel to Japan, what's the current exchange rate from CNY to JPY?",2,2,
112,112,currency_exchange,listquotes,"I received 500 Euros as a gift, how much will it be in CNY?",2,2,
113,113,currency_exchange,listquotes,What's the exchange rate between Australian Dollar (AUD) and British Pound (GBP) right now?,2,2,
114,114,currency_exchange,listquotes,"I'm going to Hong Kong, how much Hong Kong Dollar (HKD) can I get for 2000 CNY?",2,2,
115,115,currency_exchange,listquotes,How much CNY can I get if I exchange 1000 Canadian Dollars (CAD)?,2,2,
116,116,currency_exchange,listquotes,I want to know the live conversion rate between Indian Rupee (INR) and CNY.,2,2,
117,117,currency_exchange,listquotes,What's the current exchange rate from United Arab Emirates Dirham (AED) to CNY?,2,2,
118,118,currency_exchange,listquotes,"I'm interested in investing in Brazilian Real (BRL), how much would 5000 CNY be in BRL?",2,2,
119,119,currency_exchange,listquotes,How much CNY can I get by exchanging 3000 Russian Ruble (RUB)?,2,2,
120,120,currency_exchange,exchange,What's the equivalent amount in Japanese Yen for 1000 Chinese Yuan?,2,1,
121,121,currency_exchange,exchange,"If I have 200 Euros, how much will it be in Canadian dollars?",2,1,
122,122,currency_exchange,exchange,Can you tell me how many Australian dollars I will get for 50 United States dollars?,2,1,
123,123,currency_exchange,exchange,"I want to know, how much British Pounds can I get for 5000 Indian Rupees?",2,1,
124,124,currency_exchange,exchange,How much Swiss Franc will I get for 15000 Korean Won?,2,1,
125,125,currency_exchange,exchange,"I have 750 Brazilian real, what will be its equivalent in Russian Ruble?",2,1,
126,126,currency_exchange,exchange,What's the current exchange rate from Chinese Yuan to United States Dollars?,2,1,
127,127,currency_exchange,exchange,How much Thai Baht can I get for 250 Singapore Dollar?,2,1,
128,128,currency_exchange,exchange,Can you tell me the conversion from South African Rand to Mexican Peso for 500 units?,2,1,
129,129,currency_exchange,exchange,What will be the equivalent amount in New Zealand Dollar for 4000 Hong Kong Dollar?,2,1,
130,130,geocoding_by_api_ninjas,v1_geocoding,"Can you provide the latitude and longitude of New York City, United States?",2,1,
131,131,geocoding_by_api_ninjas,v1_geocoding,"I need to find the coordinates for Tokyo, Japan. Can you give me that information?",2,1,
132,132,geocoding_by_api_ninjas,v1_geocoding,"Can I know the exact latitude and longitude for Beijing, China?",2,1,
133,133,geocoding_by_api_ninjas,v1_geocoding,"I am trying to pinpoint Los Angeles, California on a map, could you provide me with the exact coordinates?",2,1,
134,134,geocoding_by_api_ninjas,v1_geocoding,"I'd like to know the geographical coordinates for Sydney, Australia. Can you help me with that?",2,1,
135,135,geocoding_by_api_ninjas,v1_geocoding,"Can you give me the latitude and longitude for Berlin, Germany?",2,1,
136,136,geocoding_by_api_ninjas,v1_geocoding,"Could you provide the exact coordinates for Paris, France?",2,1,
137,137,geocoding_by_api_ninjas,v1_geocoding,"I'm planning a trip to Dubai in United Arab Emirates, could you tell me what its latitude and longitude are?",2,1,
138,138,geocoding_by_api_ninjas,v1_geocoding,"I am trying to locate Moscow, Russia on my global map, could you provide its coordinates?",2,1,
139,139,geocoding_by_api_ninjas,v1_geocoding,"I am looking for the exact location for Madrid, Spain on the map. Can you provide the latitude and longitude?",2,1,
140,140,geocoding_by_api_ninjas,v1_reversegeocoding,What city is located at latitude 22.5429 and longitude 114.0595?,2,1,
141,141,geocoding_by_api_ninjas,v1_reversegeocoding,Can you tell me the name of the city with latitude 30.0339 and longitude 31.2195?,2,1,
142,142,geocoding_by_api_ninjas,v1_reversegeocoding,What is the name of the place at latitude 51.5072 and longitude -0.1276?,2,1,
143,143,geocoding_by_api_ninjas,v1_reversegeocoding,Which city can be found at coordinates 37.7749 and -122.4194?,2,1,
144,144,geocoding_by_api_ninjas,v1_reversegeocoding,What location corresponds to latitude 40.7128 and longitude -74.0060?,2,1,
145,145,geocoding_by_api_ninjas,v1_reversegeocoding,"I am currently at coordinates 22.5736 and 113.8889, what city am I in?",2,1,
146,146,geocoding_by_api_ninjas,v1_reversegeocoding,Can you identify the city with latitude 48.8566 and longitude 2.3522?,2,1,
147,147,geocoding_by_api_ninjas,v1_reversegeocoding,What city is located at latitude 35.6895 and longitude 139.6917?,2,1,
148,148,geocoding_by_api_ninjas,v1_reversegeocoding,Can you please tell me the name of the city with latitude 52.5200 and longitude 13.4050?,2,1,
149,149,geocoding_by_api_ninjas,v1_reversegeocoding,Which city can be found at the coordinates 28.7041 and 77.1025?,2,1,
150,150,google_api,video_search,Can you find me some videos about the latest iPhone model?,2,1,
151,151,google_api,video_search,I need to find the top 5 videos about preparing Japanese ramen.,2,1,
152,152,google_api,video_search,Are there any videos about the highlights of 2024 NBA's final match?,2,1,
153,153,google_api,video_search,"I would like to find some cooking tutorials about seafood paella, can you help me with that?",2,1,
154,154,google_api,video_search,Can you list down some recent videos about the workout plans for weight loss?,2,1,
155,155,google_api,video_search,I'd like to know if there are any videos about coding using Python language?,2,1,
156,156,google_api,video_search,What are the available videos about the gameplay of the newly released video game 'Cyberpunk 2077'?,2,1,
157,157,google_api,video_search,I need to find some funny cat videos for my niece. ,2,1,
158,158,google_api,video_search,I am interested in watching some breaking news videos from the UK. ,2,1,
159,159,google_api,video_search,Are there any music videos of Taylor Swift's new album available online?,2,1,
160,160,google_translate,detect,"What language is the phrase ""你好世界""?",2,2,
161,161,google_translate,detect,"Can you identify the language of this sentence, ""Ich liebe dich""?",2,1,
162,162,google_translate,detect,"What language does ""Amo la pizza"" belong to?",2,1,
163,163,google_translate,detect,"I just received a text saying ""مرحبًا"", do you know what language it is in?",2,2,
164,164,google_translate,detect,"What's the language of this saying, ""ドラえもん""?",2,2,
165,165,google_translate,detect,"Can you tell me the language of ""Voulez-vous voir la Tour Eiffel?""",2,2,
166,166,google_translate,detect,"I found ""Eu te amo"" in my letter, which language is it?",2,1,
167,167,google_translate,detect,"I don't recognize the language of this phrase ""Jeg elsker dig"", do you know?",2,1,
168,168,google_translate,detect,"Can you determine which language ""授人以鱼不如授人以渔"" is in?",2,2,
169,169,google_translate,detect,"I received a message ""浣犲ソ"", could you tell me what language it is?",2,1,
170,170,google_translate,languages,Can you tell me what languages can be translated into Italian?,2,2,
171,171,google_translate,languages,What languages do the Phrase-Based Machine Translation model support?,2,2,
172,172,google_translate,languages,Which languages can I translate to using Neural Machine Translation model?,2,2,
173,173,google_translate,languages,I want to have the list of the languages that can be translated into Spanish.,2,2,
174,174,google_translate,languages,What are the languages supported for translation into German by the Neural Machine Translation model?,2,2,
175,175,google_translate,languages,Give me a list of languages supported by the Phrase-Based Machine Translation model that can be translated into French.,2,2,
176,176,google_translate,languages,Can you provide the available languages that can be translated into Mandarin Chinese?,2,2,
177,177,google_translate,languages,What are the languages that I can translate when using the Phrase-Based Machine Translation model into English?,2,2,
178,178,google_translate,languages,I want the list of all languages that can be translated into Russian using the Neural Machine Translation model.,2,2,
179,179,google_translate,languages,What languages are available for translation into Arabic according to the Neural Machine Translation model?,2,2,
180,180,google_translate,translate,"Can you translate 'Hello, how are you?' to French for me?",2,1,
181,181,google_translate,translate,What is 'Je t'aime' in English?,2,1,
182,182,google_translate,translate,"I have a Spanish document in plain text, how do I say 'Buenos dias' in Chinese?",2,2,
183,183,google_translate,translate,"I didn't know what's the language used in '疏影橫斜水清淺，暗香浮動月黃昏', please help me translate it into English.",2,2,
184,184,google_translate,translate,Could you translate 'Guten Tag' into Italian for me using the Neural Machine Translation model?,2,0,
185,185,google_translate,translate,"I have HTML text, 'Je suis content', translate it to English please.",2,1,
186,186,google_translate,translate,"I want to translate multiple text strings 'Buenos dias', 'Buenas tardes', and 'Buenas noches' into Japanese, how can I do that?",2,2,
187,187,google_translate,translate,Help me translate this Danish saying 'God morgen' into Polish using the Phrase-Based Machine Translation model.,2,0,
188,188,google_translate,translate,What does this Italian sentence 'Buona notte' mean in Korean?,2,1,
189,189,google_translate,translate,Translate the unknown language 'Ciao mondo' into Vietnamese.,2,2,
190,190,image_processing,compress_image,Can you compress the image at files/object_detection/birds.jpg to save some storage space?,2,1,
191,191,image_processing,compress_image,"My image at files/object_detection/dog-and-cat.jpg is too large for email attachment, could you compress it?",2,1,
192,192,image_processing,compress_image,"I need to reduce the size of my photo stored at files/object_detection/dolphins.jpg, can you compress it?",2,1,
193,193,image_processing,compress_image,I have a picture at files/object_detection/elephants.jpg. Can I compress it to lower the quality and reduce the size?,2,1,
194,194,image_processing,compress_image,"I've downloaded a high-quality photo at files/object_detection/koala.jpg, it's too large for my presentation, can you compress it?",2,1,
195,195,image_processing,compress_image,Can you compress my image at files/object_detection/wallaby.jpg to a quality of 50?,2,1,
196,196,image_processing,compress_image,"I want to save network data when people download my image at files/object_detection/tiger.jpg from my website, could you compress it?",2,1,
197,197,image_processing,compress_image,"The image at files/object_detection/quokka.jpg is too large for my blog, can you decrease its quality to 30 and see if it fits?",2,1,
198,198,image_processing,compress_image,Could you compress the image located at files/object_detection/panda.jpg to a lower size with high quality?,2,1,
199,199,image_processing,compress_image,"My image at files/object_detection/dog-and-cat2.jpeg takes up too much space on my phone, can you compress it to a quality of 40?",2,1,
200,200,image_processing,resize_image,Can you resize my photo files/object_detection/dog-and-cat.jpg to 50% of its original size?,2,1,
201,201,image_processing,resize_image,I want to make a smaller version of the image at files/object_detection/dolphins.jpg. Can you reduce its size by 30%?,2,1,
202,202,image_processing,resize_image,I need help to resize this picture at files/object_detection/elephants.jpg to 70% of its original size. Can you do that?,2,1,
203,203,image_processing,resize_image,I want to fit this image at files/object_detection/koala.jpg to an avatar size by reducing it to 20% of the original size. Can you help me do that?,2,1,
204,204,image_processing,resize_image,Let's downsize the image at files/object_detection/panda.jpg to half of its original size for faster loading. Can I do that?,2,0,
205,205,image_processing,resize_image,"I have a wallpaper at files/object_detection/quokka.jpg, but I want it to be 80% smaller to fit my phone screen. Can you resize it?",2,1,
206,206,image_processing,resize_image,I need to decrease the size of this image at files/object_detection/tiger.jpg to 40% of its current size for email attachment purposes. Can you do that?,2,1,
207,207,image_processing,resize_image,Can you help me reduce the size of the illustration at files/object_detection/wallaby.jpg to 60% of how big it is now?,2,1,
208,208,image_processing,resize_image,"I'd like to make the image at files/object_detection/birds.jpg a bit smaller, can we scale it down to 25% of its current size?",2,1,
209,209,image_processing,resize_image,"To save some storage space, can we resize the image at files/object_detection/dog-and-cat.jpg to 35% of the original size?",2,1,
210,210,image_processing,convert_format,How to convert the format of my picture in files/rm_bg/mountain.jpg to png?,2,1,
211,211,image_processing,convert_format,Can you help me change the format of the image at files/rm_bg/talor-swift.jpg to png?,2,1,
212,212,image_processing,convert_format,"I want to transform the format of the image located at files/rm_bg/apollo_moon_landing.jpg into gif, how can I do that?",2,1,
213,213,image_processing,convert_format,Is it possible to convert the image found in files/rm_bg/apollo_moon_landing.jpg to a bmp file?,2,1,
214,214,image_processing,convert_format,Can I change the format of a photo in path files/rm_bg/flower.jpg to psd?,2,1,
215,215,image_processing,convert_format,"I would like to have the image from files/rm_bg/apollo_moon_landing.jpg in tiff format, what should I do?",2,1,
216,216,image_processing,convert_format,"I have this image on files/rm_bg/talor-swift.jpg, can I convert its format to webp?",2,1,
217,217,image_processing,convert_format,What steps should I follow if I need to convert an image from files/rm_bg/apollo_moon_landing.jpg to pdf format?,2,1,
218,218,image_processing,convert_format,"I have an image in files/rm_bg/kobe-bryant.jpg, could you guide me to convert it to xpm format?",2,1,
219,219,image_processing,convert_format,Can the image be converted from files/rm_bg/albert-einstein.jpg path to a ppm file?,2,1,
220,220,image_remove_bg,remove_bg,Can you remove the background of the image at files/rm_bg/dog.jpg?,2,1,
221,221,image_remove_bg,remove_bg,I'd like to remove the background from the photo located at files/rm_bg/flower.jpg.,2,1,
222,222,image_remove_bg,remove_bg,Please remove the background of the picture I have saved as files/rm_bg/dog.jpg.,2,1,
223,223,image_remove_bg,remove_bg,"I want to eliminate the background from an image with the local path files/rm_bg/flower.jpg, can you do that?",2,1,
224,224,image_remove_bg,remove_bg,Is it possible to get rid of the background in the image I saved as files/rm_bg/talor-swift.jpg?,2,1,
225,225,image_remove_bg,remove_bg,Can you help me in removing the background of my photo located in files/rm_bg/flower2.jpg?,2,1,
226,226,image_remove_bg,remove_bg,"I have an image saved at files/rm_bg/mountain.jpg, can you strip away its background?",2,1,
227,227,image_remove_bg,remove_bg,"My image with local path files/rm_bg/albert-einstein.jpg needs background removal, could you please assist?",2,1,
228,228,image_remove_bg,remove_bg,How do I remove the background of the image I have saved at files/rm_bg/apollo_moon_landing.jpg?,2,1,
229,229,image_remove_bg,remove_bg,Please help me remove the background from the image I stored at files/rm_bg/kobe-bryant.jpg.,2,1,
230,230,image_translation,image_translation,Can you translate the English text on this image (files/img_trans/proberb9.png) into Chinese (simplified)?,2,1,
231,231,image_translation,image_translation,"Can you help me translate the Japanese characters on this photo (files/img_trans/proverb1.jpg) to English, please?",2,1,
232,232,image_translation,image_translation,I need the Portuguese text on this image (files/img_trans/proberb9.png) translated to Spanish. Can you do that?,2,1,
233,233,image_translation,image_translation,"I have a Russian sign in this picture (files/img_trans/proverb5.jpg), can you translate it to German for me?",2,1,
234,234,image_translation,image_translation,"There is some Arabic text on this image (files/img_trans/quote-cn-1.png); I need it translated to French, please.",2,1,
235,235,image_translation,image_translation,Can you help me convert the Korean characters on this file (files/img_trans/proverb2.jpg) into Italian text?,2,1,
236,236,image_translation,image_translation,Could you translate the Dutch text in this photo (files/img_trans/proverb1.jpg) to Swedish for me?,2,1,
237,237,image_translation,image_translation,"Can you translate the Hindi characters on this image (files/img_trans/proverb3.jpg) into Vietnamese, please?",2,1,
238,238,image_translation,image_translation,There's some Turkish text in this picture (files/img_trans/proverb7.jpg); can you translate it to Norwegian for me?,2,1,
239,239,image_translation,image_translation,Please help me translate the text in the Polish image (files/img_trans/proverb6.jpg) into Danish.,2,1,
240,240,ip_geo_location,visitor_lookup,What's my current location?,2,2,
241,241,ip_geo_location,visitor_lookup,"Can you tell me about my location information like country, city, and time zone in French?",2,2,
242,242,ip_geo_location,visitor_lookup,I would like to know what my IP address is.,2,2,
243,243,ip_geo_location,visitor_lookup,Could you give me the detailed information about where I am right now in Chinese?,2,2,
244,244,ip_geo_location,visitor_lookup,What is the surrounding security situation of my current location?,2,2,
245,245,ip_geo_location,visitor_lookup,Is it possible to have the area and currency information related to my current location in Spanish?,2,2,
246,246,ip_geo_location,visitor_lookup,In which country is my IP address located at this moment?,2,2,
247,247,ip_geo_location,visitor_lookup,"Can I have the information about my current location's continent, city, and country in Japanese?",2,2,
248,248,ip_geo_location,visitor_lookup,Can you provide any details about the local time and postcode related to my present location in Italian?,2,2,
249,249,ip_geo_location,visitor_lookup,I'm interested to know about my current location's security status and the Timezone in English.,2,2,
250,250,ip_geo_location,ip_lookup,What city and country is associated with IP address 123.34.55.78?,2,1,
251,251,ip_geo_location,ip_lookup,"Can you tell me the latitude, longitude, and time zone information for the IP address 192.168.1.102?",2,1,
252,252,ip_geo_location,ip_lookup,What is the currency and postal code for IP address 231.45.23.108?,2,1,
253,253,ip_geo_location,ip_lookup,"Can you provide me with the city, country, and security information for IP address 180.211.100.1 in French language?",2,1,
254,254,ip_geo_location,ip_lookup,What is the area and continent information for IP address 122.165.10.53 in Chinese language?,2,1,
255,255,ip_geo_location,ip_lookup,What are the ASN and time zone details for IP address 56.134.10.30?,2,1,
256,256,ip_geo_location,ip_lookup,"I'm interested in knowing the area, currency, and postal code for IP address 144.123.33.11. Can you provide that information in German language?",2,1,
